name,country,budget,goal,language,source,engagement_score,view_time,lead_score,age,age_bucket,personalized_message
Isabelle,UK,1521155,family retreat,nl,LinkedIn,47,9,59.7,46,46–55,"Hi Isabelle,

Based on your interest in a family retreat and your budget of approximately $1,521,155, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from UK who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Liam,UK,1986074,family retreat,nl,Instagram,92,4,72.2,57,56–65,"Hi Liam,

Based on your interest in a family retreat and your budget of approximately $1,986,074, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from UK who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Chloe,Belgium,2097617,dual-purpose,en,Facebook,51,14,73.6,54,46–55,"Hi Chloe,

Based on your interest in a dual-purpose and your budget of approximately $2,097,617, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from Belgium who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Noah,Germany,2283257,dual-purpose,nl,Instagram,86,14,92.6,30,26–35,"Hi Noah,

Based on your interest in a dual-purpose and your budget of approximately $2,283,257, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from Germany who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Sophie,Canada,1378178,family retreat,en,LinkedIn,57,6,57.2,41,36–45,"Hi Sophie,

Based on your interest in a family retreat and your budget of approximately $1,378,178, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from Canada who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Lucas,France,1548361,investment,fr,Facebook,41,17,73.1,35,26–35,"Hi Lucas,

Based on your interest in a investment and your budget of approximately $1,548,361, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from France who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Charlotte,UK,956530,investment,fr,Instagram,45,12,60.0,56,56–65,"Hi Charlotte,

Based on your interest in a investment and your budget of approximately $956,530, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from UK who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Mason,UK,1839913,dual-purpose,fr,Instagram,75,16,92.0,41,36–45,"Hi Mason,

Based on your interest in a dual-purpose and your budget of approximately $1,839,913, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from UK who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Zoe,UK,2252107,investment,fr,Facebook,55,15,71.5,51,46–55,"Hi Zoe,

Based on your interest in a investment and your budget of approximately $2,252,107, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from UK who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Ethan,France,1592139,dual-purpose,en,Facebook,68,17,83.3,52,46–55,"Hi Ethan,

Based on your interest in a dual-purpose and your budget of approximately $1,592,139, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from France who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Amelie,UK,1114712,investment,nl,LinkedIn,90,19,100.0,62,56–65,"Hi Amelie,

Based on your interest in a investment and your budget of approximately $1,114,712, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from UK who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
Olivier,Germany,2027888,retirement property,en,Instagram,78,11,80.3,36,36–45,"Hi Olivier,

Based on your interest in a retirement property and your budget of approximately $2,027,888, we believe Vie L’Ven in St. Maarten offers an ideal opportunity for you. This oceanfront resort is designed to match the lifestyle aspirations of clients from Germany who seek both value and prestige.

With world-class amenities including a 30,000 sq ft spa, private marina access, and fine dining curated by Michelin-starred chefs, you’ll be part of a community that values serenity, sophistication, and return on investment.

Our team would be delighted to offer you a tailored walkthrough and explain the exceptional investment potential Vie L’Ven holds for you.

Warm regards,
The Vie L’Ven Team"
